Eclipse of the Crescent Moon,Gardonyi Geza
Thursbitch,Garner Alan
Promise at Dawn,Gary Romain
The Roots of Heaven,Gary Romain
Cranford,Gaskell Elizabeth
North and South,Gaskell Elizabeth
Mary Barton,Gaskell Elizabeth
Legend,Gemmell David
The Triple Mirror of the Self,Ghose Zulfikar
The Shadow Lines,Ghosh Amitav
Cold Comfort Farm,Gibbons Stella
Neuromancer,Gibson William
Fruits of the Earth,Gide André
Strait is the Gate,Gide André
The Counterfeiters,Gide André
The Immoralist,Gide André
New Grub Street,Gissing George
Born in Exile,Gissing George
The Adventures of Caleb Williams,Godwin William
Elective Affinities,Goethe Johann Wolfgang von
The Sorrows of Young Werther,Goethe Johann Wolfgang von
Wilhelm Meister’s Apprenticeship,Goethe Johann Wolfgang von
Dead Souls,Gogol Nikolay
The Nose,Gogol Nikolay
Memoirs of a Geisha,Golden Arthur
Lord of the Flies,Golding William
Rites of Passage,Golding William
The Vicar of Wakefield,Goldsmith Oliver
Ferdydurke,Gombrowicz Witold
Oblomov,Goncharov Ivan
Burger’s Daughter,Gordimer Nadine
July’s People,Gordimer Nadine
Mother,Gorky Maxim
The Artamonov Business,Gorky Maxim
Marks of Identity,Goytisolo Juan
The Opposing Shore,Gracq Julien
Dog Years,Grass Gunter
Cat and Mouse,Grass Günter
The Tin Drum,Grass Günter
Sunset Song,Grassic Gibbon Lewis
Lanark: A Life in Four Books,Gray Alasdair
Back,Green Henry
Blindness,Green Henry
Living,Green Henry
Loving,Green Henry
Caught,Green Henry
Party Going,Green Henry
Brighton Rock,Greene Graham
The End of the Affair,Greene Graham
The Honorary Consul,Greene Graham
The Power and the Glory,Greene Graham
The Quiet American,Greene Graham
England Made Me,Greene Graham
The Heart of the Matter,Greene Graham
The Third Man,Greene Graham
Diary of a Nobody,Grossmith George
Romance of the Three Kingdoms,Guanzhong Luo
Memoirs of Rain,Gupta Sunetra
Dirty Havana Trilogy,Gutierrez Pedro Juan
Forever a Stranger,Haasse Hella
The Curious Incident of the Dog in the Night Time,Haddon Mark
The Well of Loneliness,Hall Radclyffe
The Reluctant Fundamentalist,Hamid Mohsin
Hangover Square,Hamilton Patrick
The Maltese Falcon,Hammett Dashiell
The Thin Man,Hammett Dashiell
The Glass Key,Hammett Dashiell
The Red Harvest,Hammett Dashiell
Growth of the Soil,Hamsun Knut
Hunger,Hamsun Knut
The Afternoon of a Writer,Handke Peter
The Left-Handed Woman,Handke Peter
Goalie’s Anxiety at the Penalty Kick,Handke Peter
The Art of Fielding,Harbach Chad
Far from the Madding Crowd,Hardy Thomas
Jude the Obscure,Hardy Thomas
Tess of the D’Urbervilles,Hardy Thomas
Return of the Native,Hardy Thomas
The Hand of Ethelberta,Hardy Thomas
The Mayor of Casterbridge,Hardy Thomas
The Woodlanders,Hardy Thomas
The Go-Between,Hartley L.P.
The Good Soldier Švejk,Hašek Jaroslav
The House of the Seven Gables,Hawthorne Nathaniel
The Scarlet Letter,Hawthorne Nathaniel
The Blithedale Romance,Hawthorne Nathaniel
The Marble Faun,Hawthorne Nathaniel
Love in Excess,Haywood Eliza
A Question of Power,Head Bessie
The Blind Owl,Hedayat Sadegh
Stranger in a Strange Land,Heinlein Robert
Aithiopika,Heliodorus
Catch-22,Heller Joseph
A Farewell to Arms,Hemingway Ernest
For Whom the Bell Tolls,Hemingway Ernest
The Old Man and the Sea,Hemingway Ernest
The Sun Also Rises,Hemingway Ernest
To Have and Have Not,Hemingway Ernest
Margot and the Angels,Hemmerechts Kristien
Nowhere Man,Hemon Aleksandar
Reasons to Live,Hempel Amy
The First Garden,Herbert Anne
Martin Fierro,Hernandez Jose
Dispatches,Herr Michael
Siddhartha,Hesse Herman
Steppenwolf,Hesse Herman
The Glass Bead Game,Hesse Herman
Rosshalde,Hesse Herman
The Talented Mr. Ripley,Highsmith Patricia
Camera Obscura,Hildebrand
Blind Man With a Pistol,Himes Chester
A Kestrel for a Knave,Hines Barry
The House on the Borderland,Hodgson William Hope
Smilla’s Sense of Snow,Høeg Peter
The Life and Opinions of the Tomcat Murr,Hoffman E.T.A.
The Parable of the Blind,Hofmann Gert
The Private Memoirs and Confessions of a Justified Sinner,Hogg James
Hyperion,Hölderlin Friedrich
The Swimming Pool Library,Hollinghurst Alan
The Folding Star,Hollinghurst Alan
The Line of Beauty,Hollinghurst Alan
The Cathedral,Honchar Oles
Elementary Particles,Houellebecq Michel
Platform,Houellebecq Michel
Whatever,Houellebecq Michel
Closely Watched Trains,Hrabal Bohumil
Les Misérables,Hugo Victor
The Hunchback of Notre Dame,Hugo Victor
Paradise of the Blind,Huong Duong Thu
What I Loved,Hustvedt Siri
Brave New World,Huxley Aldous
Crome Yellow,Huxley Aldous
Eyeless in Gaza,Huxley Aldous
Antic Hay,Huxley Aldous
Against the Grain,Huysmans Joris-Karl
Down There,Huysmans Joris-Karl
Carry Me Down,Hyland M.J.
Three Trapped Tigers,Infante Guillermo Cabrera
A Prayer for Owen Meany,Irving John
The Cider House Rules,Irving John
The World According to Garp,Irving John
Goodbye to Berlin,Isherwood Christopher
The Last of Mr. Norris,Isherwood Christopher
A Pale View of Hills,Ishiguro Kazuo
An Artist of the Floating World,Ishiguro Kazuo
Remains of the Day,Ishiguro Kazuo
The Unconsoled,Ishiguro Kazuo
Never Let Me Go,Ishiguro Kazuo
The Ambassadors,James Henry
The Portrait of a Lady,James Henry
The Wings of the Dove,James Henry
What Maisie Knew,James Henry
The Golden Bowl,James Henry
The Turn of the Screw,James Henry
A Day Off,Jameson Storm
The Summer Book,Jansson Tove
The Piano Teacher,Jelinek Elfriede
Leaden Wings,Jie Zhang
Platero and I,Jiménez Juan Ramón
House Mother Normal,Johnson B.S.
Albert Angelo,Johnson B.S.
Trawl,Johnson B.S.
Rasselas,Johnson Samuel
Jahrestage,Johnson Uwe
In Parenthesis,Jones David
Fear of Flying,Jong Erica
A Portrait of the Artist as a Young Man,Joyce James
Finnegans Wake,Joyce James
Ulysses,Joyce James
The Glass Bees,Junger Ernst
The Storm of Steel,Junger Ernst
Broken April,Kadare Ismail
"Spring Flowers, Spring Frost",Kadare Ismail
The Successor,Kadare Ismail
Amerika,Kafka Franz
The Castle,Kafka Franz
